"dwal","p","ybar:0","ybar:1","ybar:2","Points:0","Points:1","Points:2"
2.470373103e-07,9.697636072e+04,3.877954917e-05,4.857911323e-08,0.000000000e+00,2.173420000e-01,-3.333725296e-02,0.000000000e+00
0.000000000e+00,9.697636072e+04,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.173420000e-01,-3.333750000e-02,0.000000000e+00
1.000000000e-06,9.697636073e+04,1.454713885e-04,3.782204363e-07,0.000000000e+00,2.173420000e-01,-3.333650000e-02,0.000000000e+00
3.250002661e-06,9.697636074e+04,4.912523606e-04,1.241130758e-06,0.000000000e+00,2.173420000e-01,-3.333425000e-02,0.000000000e+00
2.308797295e-06,9.697636074e+04,3.409945952e-04,8.732329154e-07,0.000000000e+00,2.173420000e-01,-3.333519120e-02,0.000000000e+00
2.000000000e-06,9.697636074e+04,2.871674391e-04,8.160128099e-07,0.000000000e+00,2.173420000e-01,-3.333550000e-02,0.000000000e+00
1.247037310e-06,9.697636073e+04,1.804755997e-04,4.863714868e-07,0.000000000e+00,2.173420000e-01,-3.333625296e-02,0.000000000e+00
6.062511974e-06,9.697636073e+04,9.806426927e-04,2.277028425e-06,0.000000000e+00,2.173420000e-01,-3.333143749e-02,0.000000000e+00
4.886002763e-06,9.697636073e+04,7.664462161e-04,1.824998720e-06,0.000000000e+00,2.173420000e-01,-3.333261400e-02,0.000000000e+00
4.500005322e-06,9.697636073e+04,6.908077535e-04,1.729731120e-06,0.000000000e+00,2.173420000e-01,-3.333299999e-02,0.000000000e+00
3.558799956e-06,9.697636074e+04,5.405499881e-04,1.361833277e-06,0.000000000e+00,2.173420000e-01,-3.333394120e-02,0.000000000e+00
9.578156100e-06,9.697636074e+04,1.681657153e-03,3.495958597e-06,0.000000000e+00,2.173420000e-01,-3.332792184e-02,0.000000000e+00
8.107516455e-06,9.697636074e+04,1.372712572e-03,3.028401427e-06,0.000000000e+00,2.173420000e-01,-3.332939248e-02,0.000000000e+00
7.625018627e-06,9.697636074e+04,1.265114260e-03,2.877363224e-06,0.000000000e+00,2.173420000e-01,-3.332987498e-02,0.000000000e+00
6.448509415e-06,9.697636073e+04,1.050917784e-03,2.425333519e-06,0.000000000e+00,2.173420000e-01,-3.333105149e-02,0.000000000e+00
1.397272061e-05,9.697636072e+04,2.697398639e-03,4.804558525e-06,0.000000000e+00,2.173420000e-01,-3.332352728e-02,0.000000000e+00
1.213441714e-05,9.697636073e+04,2.246850600e-03,4.348683450e-06,0.000000000e+00,2.173420000e-01,-3.332536558e-02,0.000000000e+00
1.153129357e-05,9.697636073e+04,2.091962450e-03,4.116915222e-06,0.000000000e+00,2.173420000e-01,-3.332596871e-02,0.000000000e+00
1.006065393e-05,9.697636073e+04,1.783017870e-03,3.649358052e-06,0.000000000e+00,2.173420000e-01,-3.332743935e-02,0.000000000e+00
1.946593795e-05,9.697636070e+04,4.185005331e-03,6.187219239e-06,0.000000000e+00,2.173420000e-01,-3.331803406e-02,0.000000000e+00
1.716805372e-05,9.697636071e+04,3.521240232e-03,5.739805424e-06,0.000000000e+00,2.173420000e-01,-3.332033195e-02,0.000000000e+00
1.641414765e-05,9.697636071e+04,3.295765658e-03,5.410000310e-06,0.000000000e+00,2.173420000e-01,-3.332108585e-02,0.000000000e+00
1.457584418e-05,9.697636072e+04,2.845217618e-03,4.954125235e-06,0.000000000e+00,2.173420000e-01,-3.332292416e-02,0.000000000e+00
2.633247423e-05,9.697636067e+04,6.385075961e-03,7.730689937e-06,0.000000000e+00,2.173420000e-01,-3.331116753e-02,0.000000000e+00
2.346011283e-05,9.697636068e+04,5.398187386e-03,7.254820405e-06,0.000000000e+00,2.173420000e-01,-3.331403989e-02,0.000000000e+00
2.251772824e-05,9.697636068e+04,5.066543165e-03,6.781423734e-06,0.000000000e+00,2.173420000e-01,-3.331498227e-02,0.000000000e+00
2.021984401e-05,9.697636069e+04,4.402778066e-03,6.334009919e-06,0.000000000e+00,2.173420000e-01,-3.331728016e-02,0.000000000e+00
3.491566286e-05,9.697636064e+04,9.667366348e-03,9.722051860e-06,0.000000000e+00,2.173420000e-01,-3.330258434e-02,0.000000000e+00
3.132520346e-05,9.697636066e+04,8.188133305e-03,9.067553648e-06,0.000000000e+00,2.173420000e-01,-3.330617480e-02,0.000000000e+00
3.014722022e-05,9.697636066e+04,7.695749901e-03,8.362686100e-06,0.000000000e+00,2.173420000e-01,-3.330735278e-02,0.000000000e+00
2.727485882e-05,9.697636067e+04,6.708861326e-03,7.886816569e-06,0.000000000e+00,2.173420000e-01,-3.331022514e-02,0.000000000e+00
4.564467148e-05,9.697636059e+04,1.460157640e-02,1.260356022e-05,0.000000000e+00,2.173420000e-01,-3.329185533e-02,0.000000000e+00
4.115658768e-05,9.697636062e+04,1.236894224e-02,1.168562841e-05,0.000000000e+00,2.173420000e-01,-3.329634341e-02,0.000000000e+00
3.968410549e-05,9.697636062e+04,1.163191660e-02,1.059128246e-05,0.000000000e+00,2.173420000e-01,-3.329781589e-02,0.000000000e+00
3.609364610e-05,9.697636064e+04,1.015268356e-02,9.936784249e-06,0.000000000e+00,2.173420000e-01,-3.330140635e-02,0.000000000e+00
5.905596081e-05,9.697636054e+04,2.206560423e-02,1.634253342e-05,0.000000000e+00,2.173420000e-01,-3.327844404e-02,0.000000000e+00
5.344584412e-05,9.697636056e+04,1.867729633e-02,1.545047627e-05,0.000000000e+00,2.173420000e-01,-3.328405416e-02,0.000000000e+00
5.160523746e-05,9.697636056e+04,1.756670893e-02,1.382265358e-05,0.000000000e+00,2.173420000e-01,-3.328589476e-02,0.000000000e+00
4.711715367e-05,9.697636059e+04,1.533407477e-02,1.290472177e-05,0.000000000e+00,2.173420000e-01,-3.329038285e-02,0.000000000e+00
7.582010815e-05,9.697636049e+04,3.340355415e-02,2.009650169e-05,0.000000000e+00,2.173420000e-01,-3.326167989e-02,0.000000000e+00
6.880744736e-05,9.697636051e+04,2.824584943e-02,1.982951686e-05,0.000000000e+00,2.173420000e-01,-3.326869255e-02,0.000000000e+00
6.650668415e-05,9.697636051e+04,2.656557208e-02,1.752726297e-05,0.000000000e+00,2.173420000e-01,-3.327099332e-02,0.000000000e+00
6.089656746e-05,9.697636053e+04,2.317726418e-02,1.663520582e-05,0.000000000e+00,2.173420000e-01,-3.327660343e-02,0.000000000e+00
9.677533694e-05,9.697636043e+04,5.064106744e-02,2.246125881e-05,0.000000000e+00,2.173420000e-01,-3.324072466e-02,0.000000000e+00
8.800949230e-05,9.697636046e+04,4.279589204e-02,2.371901322e-05,0.000000000e+00,2.173420000e-01,-3.324949051e-02,0.000000000e+00
8.513353216e-05,9.697636046e+04,4.025343500e-02,2.045108079e-05,0.000000000e+00,2.173420000e-01,-3.325236647e-02,0.000000000e+00
7.812087137e-05,9.697636048e+04,3.509573029e-02,2.018409596e-05,0.000000000e+00,2.173420000e-01,-3.325937913e-02,0.000000000e+00
1.229694287e-04,9.697636036e+04,7.675951275e-02,2.176779031e-05,0.000000000e+00,2.173420000e-01,-3.321453057e-02,0.000000000e+00
1.120120996e-04,9.697636040e+04,6.488956507e-02,2.558494729e-05,0.000000000e+00,2.173420000e-01,-3.322548790e-02,0.000000000e+00
1.084171417e-04,9.697636041e+04,6.106014332e-02,2.079085147e-05,0.000000000e+00,2.173420000e-01,-3.322908286e-02,0.000000000e+00
9.965129708e-05,9.697636043e+04,5.321496792e-02,2.204860587e-05,0.000000000e+00,2.173420000e-01,-3.323784870e-02,0.000000000e+00
1.557121131e-04,9.697636027e+04,1.159605196e-01,1.664920988e-05,0.000000000e+00,2.173420000e-01,-3.318178789e-02,0.000000000e+00
1.420154225e-04,9.697636030e+04,9.822317464e-02,2.388468747e-05,0.000000000e+00,2.173420000e-01,-3.319548458e-02,0.000000000e+00
1.375217157e-04,9.697636031e+04,9.252383658e-02,1.669827355e-05,0.000000000e+00,2.173420000e-01,-3.319997828e-02,0.000000000e+00
1.265643865e-04,9.697636035e+04,8.065388891e-02,2.051543053e-05,0.000000000e+00,2.173420000e-01,-3.321093561e-02,0.000000000e+00
1.966405557e-04,9.697636019e+04,1.736752509e-01,1.006294853e-05,0.000000000e+00,2.173420000e-01,-3.314085944e-02,0.000000000e+00
1.795196560e-04,9.697636022e+04,1.478000780e-01,1.861637157e-05,0.000000000e+00,2.173420000e-01,-3.315798034e-02,0.000000000e+00
1.739025105e-04,9.697636022e+04,1.395172578e-01,7.039865780e-06,0.000000000e+00,2.173420000e-01,-3.316359749e-02,0.000000000e+00
1.602058199e-04,9.697636026e+04,1.217799129e-01,1.427534336e-05,0.000000000e+00,2.173420000e-01,-3.317729418e-02,0.000000000e+00
2.478012179e-04,9.697636005e+04,2.558458298e-01,1.618608868e-05,0.000000000e+00,2.173420000e-01,-3.308969878e-02,0.000000000e+00
2.264000477e-04,9.697636013e+04,2.195982482e-01,1.794118292e-05,0.000000000e+00,2.173420000e-01,-3.311109995e-02,0.000000000e+00
2.193786009e-04,9.697636015e+04,2.080397329e-01,-1.296741873e-06,0.000000000e+00,2.173420000e-01,-3.311812140e-02,0.000000000e+00
2.022577012e-04,9.697636018e+04,1.821645601e-01,7.256681166e-06,0.000000000e+00,2.173420000e-01,-3.313524230e-02,0.000000000e+00
3.117521817e-04,9.697635982e+04,3.671558432e-01,6.726265833e-05,0.000000000e+00,2.173420000e-01,-3.302574782e-02,0.000000000e+00
2.850006621e-04,9.697635991e+04,3.192101450e-01,4.459709081e-05,0.000000000e+00,2.173420000e-01,-3.305249934e-02,0.000000000e+00
2.762238348e-04,9.697635995e+04,3.039857735e-01,1.385517075e-05,0.000000000e+00,2.173420000e-01,-3.306127617e-02,0.000000000e+00
2.548226647e-04,9.697636002e+04,2.677381920e-01,1.561026499e-05,0.000000000e+00,2.173420000e-01,-3.308267734e-02,0.000000000e+00
3.472805286e-04,9.697635971e+04,4.308319044e-01,9.736450511e-05,0.000000000e+00,2.173420000e-01,-3.299021947e-02,0.000000000e+00
3.205290090e-04,9.697635979e+04,3.828862061e-01,7.469893759e-05,0.000000000e+00,2.173420000e-01,-3.301697099e-02,0.000000000e+00
1.364631100e-02,9.697647029e+04,7.440523903e+00,3.098515624e-01,0.000000000e+00,2.173420000e-01,-1.973392794e-02,0.000000000e+00
1.312523158e-02,9.697644461e+04,7.187023296e+00,2.891373134e-01,0.000000000e+00,2.173420000e-01,-2.025298912e-02,0.000000000e+00
1.495558400e-02,9.697653480e+04,8.077473833e+00,3.618985363e-01,0.000000000e+00,2.173420000e-01,-1.842972599e-02,0.000000000e+00
1.170586945e-02,9.697642855e+04,6.498265420e+00,2.399840251e-01,0.000000000e+00,2.173420000e-01,-2.166042879e-02,0.000000000e+00
1.089622317e-02,9.697641939e+04,6.105377486e+00,2.119455308e-01,0.000000000e+00,2.173420000e-01,-2.246327415e-02,0.000000000e+00
1.211207021e-02,9.697643315e+04,6.695377892e+00,2.540509803e-01,0.000000000e+00,2.173420000e-01,-2.125764006e-02,0.000000000e+00
1.259953255e-02,9.697643866e+04,6.931923250e+00,2.709320681e-01,0.000000000e+00,2.173420000e-01,-2.077427234e-02,0.000000000e+00
1.009000005e-02,9.697640355e+04,5.724145040e+00,1.852379747e-01,0.000000000e+00,2.173420000e-01,-2.324749995e-02,0.000000000e+00
9.080191456e-03,9.697639488e+04,5.238327920e+00,1.553291623e-01,0.000000000e+00,2.173420000e-01,-2.425730854e-02,0.000000000e+00
8.319843260e-03,9.697638835e+04,4.872525754e+00,1.328089424e-01,0.000000000e+00,2.173420000e-01,-2.501765674e-02,0.000000000e+00
9.329651856e-03,9.697639702e+04,5.358342874e+00,1.627177549e-01,0.000000000e+00,2.173420000e-01,-2.400784814e-02,0.000000000e+00
8.070382861e-03,9.697638567e+04,4.755172526e+00,1.258427722e-01,0.000000000e+00,2.173420000e-01,-2.526711714e-02,0.000000000e+00
7.262537705e-03,9.697637910e+04,4.376415576e+00,1.059800480e-01,0.000000000e+00,2.173420000e-01,-2.607496230e-02,0.000000000e+00
6.654260443e-03,9.697637415e+04,4.091225723e+00,9.102415778e-02,0.000000000e+00,2.173420000e-01,-2.668323956e-02,0.000000000e+00
7.462105599e-03,9.697638073e+04,4.469982674e+00,1.108868819e-01,0.000000000e+00,2.173420000e-01,-2.587539440e-02,0.000000000e+00
1.533465248e-02,9.697655347e+04,8.261887353e+00,3.769674848e-01,0.000000000e+00,2.173420000e-01,-1.805212572e-02,0.000000000e+00
6.454692549e-03,9.697637155e+04,3.999832122e+00,8.638240557e-02,0.000000000e+00,2.173420000e-01,-2.688280745e-02,0.000000000e+00
5.808417799e-03,9.697636884e+04,3.703642948e+00,7.323720532e-02,0.000000000e+00,2.173420000e-01,-2.752908220e-02,0.000000000e+00
5.321797026e-03,9.697636680e+04,3.480623551e+00,6.333935999e-02,0.000000000e+00,2.173420000e-01,-2.801570297e-02,0.000000000e+00
5.968071775e-03,9.697636951e+04,3.776812725e+00,7.648456024e-02,0.000000000e+00,2.173420000e-01,-2.736942822e-02,0.000000000e+00
2.059612367e-02,9.697662246e+04,1.057832333e+01,5.925703913e-01,0.000000000e+00,2.173420000e-01,-1.280839054e-02,0.000000000e+00
2.015598922e-02,9.697660868e+04,1.039379789e+01,5.745751467e-01,0.000000000e+00,2.173420000e-01,-1.325352031e-02,0.000000000e+00
1.954578040e-02,9.697658958e+04,1.013796913e+01,5.496262769e-01,0.000000000e+00,2.173420000e-01,-1.387065472e-02,0.000000000e+00
1.887214007e-02,9.697656848e+04,9.855546852e+00,5.220839601e-01,0.000000000e+00,2.173420000e-01,-1.455194054e-02,0.000000000e+00
1.713201441e-02,9.697656908e+04,9.105638285e+00,4.512553876e-01,0.000000000e+00,2.173420000e-01,-1.626371374e-02,0.000000000e+00
1.693846742e-02,9.697657031e+04,9.021798754e+00,4.433841338e-01,0.000000000e+00,2.173420000e-01,-1.645309082e-02,0.000000000e+00
1.768520800e-02,9.697656556e+04,9.345267387e+00,4.737529069e-01,0.000000000e+00,2.173420000e-01,-1.572243854e-02,0.000000000e+00
2.193705787e-02,9.697667299e+04,1.106736985e+01,6.457050082e-01,0.000000000e+00,2.173420000e-01,-1.146289084e-02,0.000000000e+00
1.859433982e-02,9.697655979e+04,9.739079685e+00,5.107258776e-01,0.000000000e+00,2.173420000e-01,-1.483289369e-02,0.000000000e+00
2.506105282e-02,9.697680071e+04,1.200871591e+01,7.500318390e-01,0.000000000e+00,2.173420000e-01,-8.323198335e-03,0.000000000e+00
2.438886224e-02,9.697676447e+04,1.187064465e+01,7.318222600e-01,0.000000000e+00,2.173420000e-01,-9.002442389e-03,0.000000000e+00
2.588872267e-02,9.697684534e+04,1.217872338e+01,7.724533369e-01,0.000000000e+00,2.173420000e-01,-7.486843516e-03,0.000000000e+00
2.328810548e-02,9.697672340e+04,1.151000815e+01,6.931592459e-01,0.000000000e+00,2.173420000e-01,-1.010707997e-02,0.000000000e+00
2.383029384e-02,9.697674363e+04,1.168764314e+01,7.122030864e-01,0.000000000e+00,2.173420000e-01,-9.562980076e-03,0.000000000e+00
5.162143050e-03,9.697636589e+04,3.409181673e+00,6.031555854e-02,0.000000000e+00,2.173420000e-01,-2.817535695e-02,0.000000000e+00
4.645124351e-03,9.697636371e+04,3.174906004e+00,5.137439721e-02,0.000000000e+00,2.173420000e-01,-2.869237565e-02,0.000000000e+00
4.255828561e-03,9.697636207e+04,2.998505166e+00,4.464203632e-02,0.000000000e+00,2.173420000e-01,-2.908167144e-02,0.000000000e+00
4.772847260e-03,9.697636425e+04,3.232780835e+00,5.358319765e-02,0.000000000e+00,2.173420000e-01,-2.856465274e-02,0.000000000e+00
3.022736355e-02,9.697695635e+04,1.272483032e+01,8.523077633e-01,0.000000000e+00,2.173420000e-01,-3.135502540e-03,0.000000000e+00
2.870603955e-02,9.697693604e+04,1.258900680e+01,8.309356126e-01,0.000000000e+00,2.173420000e-01,-4.656996643e-03,0.000000000e+00
2.844062406e-02,9.697693249e+04,1.256531056e+01,8.272069527e-01,0.000000000e+00,2.173420000e-01,-4.922441811e-03,0.000000000e+00
2.816833972e-02,9.697692886e+04,1.254100106e+01,8.233817965e-01,0.000000000e+00,2.173420000e-01,-5.194756593e-03,0.000000000e+00
2.615449626e-02,9.697685507e+04,1.222096023e+01,7.783909304e-01,0.000000000e+00,2.173420000e-01,-7.219616107e-03,0.000000000e+00
2.694668886e-02,9.697688410e+04,1.234685580e+01,7.960891437e-01,0.000000000e+00,2.173420000e-01,-6.423090082e-03,0.000000000e+00
3.213838911e-02,9.697705593e+04,1.277308774e+01,8.716079233e-01,0.000000000e+00,2.173420000e-01,-1.236881303e-03,0.000000000e+00
3.187168190e-02,9.697704204e+04,1.276635282e+01,8.689143477e-01,0.000000000e+00,2.173420000e-01,-1.501857331e-03,0.000000000e+00
3.398169699e-02,9.697717843e+04,1.277536041e+01,8.879968579e-01,0.000000000e+00,2.173420000e-01,5.998582885e-04,0.000000000e+00
3.768065288e-02,9.697735363e+04,1.267319746e+01,9.129824033e-01,0.000000000e+00,2.173420000e-01,4.336483984e-03,0.000000000e+00
3.735420341e-02,9.697733841e+04,1.267672145e+01,9.108872033e-01,0.000000000e+00,2.173420000e-01,4.010278569e-03,0.000000000e+00
3.707806899e-02,9.697732820e+04,1.268518187e+01,9.092222080e-01,0.000000000e+00,2.173420000e-01,3.732743277e-03,0.000000000e+00
3.505161390e-02,9.697723018e+04,1.274420022e+01,8.953310416e-01,0.000000000e+00,2.173420000e-01,1.682391855e-03,0.000000000e+00
3.567514650e-02,9.697726034e+04,1.272604049e+01,8.996053012e-01,0.000000000e+00,2.173420000e-01,2.313277262e-03,0.000000000e+00
4.128105652e-03,9.697636154e+04,2.941957497e+00,4.260193046e-02,0.000000000e+00,2.173420000e-01,-2.920939435e-02,0.000000000e+00
3.714491574e-03,9.697636050e+04,2.753260922e+00,3.646078599e-02,0.000000000e+00,2.173420000e-01,-2.962300843e-02,0.000000000e+00
3.403055604e-03,9.697635971e+04,2.611179441e+00,3.183673334e-02,0.000000000e+00,2.173420000e-01,-2.993444440e-02,0.000000000e+00
3.816669683e-03,9.697636075e+04,2.799876016e+00,3.797787780e-02,0.000000000e+00,2.173420000e-01,-2.952083032e-02,0.000000000e+00
4.061336037e-02,9.697747201e+04,1.263176746e+01,9.308152763e-01,0.000000000e+00,2.173420000e-01,7.259591126e-03,0.000000000e+00
4.007968760e-02,9.697745047e+04,1.263930659e+01,9.275701798e-01,0.000000000e+00,2.173420000e-01,6.727665355e-03,0.000000000e+00
3.897672344e-02,9.697740595e+04,1.265488803e+01,9.208634012e-01,0.000000000e+00,2.173420000e-01,5.628311796e-03,0.000000000e+00
4.159224488e-02,9.697751458e+04,1.263039084e+01,9.381654652e-01,0.000000000e+00,2.173420000e-01,8.234900643e-03,0.000000000e+00
4.319007625e-02,9.697758949e+04,1.262965517e+01,9.513873829e-01,0.000000000e+00,2.173420000e-01,9.827845026e-03,0.000000000e+00
4.241092599e-02,9.697755017e+04,1.262923951e+01,9.443127286e-01,0.000000000e+00,2.173420000e-01,9.050591842e-03,0.000000000e+00
4.388638699e-02,9.697762462e+04,1.263002664e+01,9.577098575e-01,0.000000000e+00,2.173420000e-01,1.052246038e-02,0.000000000e+00
4.205080282e-02,9.697753451e+04,1.262974596e+01,9.416086575e-01,0.000000000e+00,2.173420000e-01,8.691783886e-03,0.000000000e+00
4.218009525e-02,9.697754014e+04,1.262956413e+01,9.425794806e-01,0.000000000e+00,2.173420000e-01,8.820604124e-03,0.000000000e+00
4.732805040e-02,9.697780681e+04,1.262315346e+01,9.834976790e-01,0.000000000e+00,2.173420000e-01,1.397622205e-02,0.000000000e+00
4.659061770e-02,9.697776814e+04,1.262578500e+01,9.785705136e-01,0.000000000e+00,2.173420000e-01,1.324061173e-02,0.000000000e+00
4.440624264e-02,9.697765221e+04,1.262921123e+01,9.617200663e-01,0.000000000e+00,2.173420000e-01,1.104499210e-02,0.000000000e+00
4.531061403e-02,9.697770021e+04,1.262779271e+01,9.686964610e-01,0.000000000e+00,2.173420000e-01,1.195401896e-02,0.000000000e+00
3.300877495e-03,9.697635947e+04,2.565554531e+00,3.043744070e-02,0.000000000e+00,2.173420000e-01,-3.003662250e-02,0.000000000e+00
2.969986937e-03,9.697635899e+04,2.409938095e+00,2.611388355e-02,0.000000000e+00,2.173420000e-01,-3.036751306e-02,0.000000000e+00
2.720838692e-03,9.697635862e+04,2.292764725e+00,2.285840633e-02,0.000000000e+00,2.173420000e-01,-3.061666131e-02,0.000000000e+00
3.051729250e-03,9.697635911e+04,2.448381161e+00,2.718196348e-02,0.000000000e+00,2.173420000e-01,-3.028577075e-02,0.000000000e+00
